Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,,,,,
2022-03-02T12:28:30.919,1099.644531,960.5947876,111.7923474,5.888144054,,,,,
2022-03-02T12:28:39.440,1101.417969,960.6801147,111.8278262,5.888186975,,,,,
2022-03-02T12:28:47.919,1102.917847,960.439209,111.8633678,5.888240046,,,,,
2022-03-02T12:28:56.700,1103.926025,961.0950317,111.8992952,5.888519971,,,,,
2022-03-02T12:29:41.459,1101.82959,961.0916138,112.0855588,5.8888071,,,,,
2022-03-02T12:29:50.270,1097.902466,961.4924316,112.1257839,5.888874756,,,,,
2022-03-02T12:29:59.969,1095.873291,961.1238403,112.1667448,5.88894548,,,,,
2022-03-02T12:30:09.419,1095.357666,961.4009399,112.202588,5.889047164,,,,,
2022-03-02T12:30:18.119,1094.987549,961.3467407,112.2393874,5.889111313,,,,,
2022-03-02T12:30:27.049,1094.361572,961.2688599,112.2782284,5.889236886,,,,,
2022-03-02T12:30:36.410,1094.124634,961.0719604,112.3132225,5.889287075,,,,,
2022-03-02T12:30:44.870,1093.90918,961.0297241,112.3491174,5.889335522,,,,,
2022-03-02T12:30:53.410,1093.532349,960.9367065,112.3854587,5.889368082,,,,,
2022-03-02T12:31:01.940,1093.853149,961.074646,112.4215571,5.889540926,,,,,
2022-03-02T12:31:10.690,1093.317993,961.1931152,112.4572289,5.889592269,,,,,
2022-03-02T12:31:19.230,1093.273193,961.4608765,112.4942885,5.889687335,,,,,
2022-03-02T12:31:28.139,1093.141357,961.7872314,112.5298576,5.889832967,,,,,
2022-03-02T12:31:36.819,1093.11853,961.3565674,112.5659202,5.889852789,,,,,
2022-03-02T12:31:45.300,1093.565308,961.9484253,112.6015864,5.889993889,,,,,
2022-03-02T12:31:53.819,1093.255005,961.2498779,112.6375221,5.889947694,,,,,
2022-03-02T12:32:02.439,1092.524536,961.2836914,112.6774128,5.89013915,,,,,
2022-03-02T12:32:11.849,1092.464355,961.5480957,112.7129149,5.890217444,,,,,
2022-03-02T12:32:20.389,1092.600586,961.3498535,112.7483279,5.890181533,,,,,
2022-03-02T12:32:37.480,1093.291504,960.8931274,112.8193886,5.890368217,,,,,
